x_Sanriku y_Sanriku ae_model_Sanriku an_model_Sanriku au_model_Sanriku ve_1998_model_Sanriku vn_1998_model_Sanriku vu_1998_model_Sanriku ve_2009_model_Sanriku vn_2009_model_Sanriku vu_2009_model_Sanriku
-1.9448716377147238e+02 3.5173931955178404e+02 -3.2095465659569533e-01 1.5899421578870243e-01 3.3247713109563408e-03 9.2590239452682854e-03 -4.5647412720975578e-03 9.9016557371011218e-05 5.7285227227156371e-03 -2.8158048984218312e-03 1.3558904179153096e-04
-9.6791863536007753e+01 3.3137477449986517e+02 -5.3303402874464423e-01 3.6076426929513805e-01 4.7206467242136216e-02 1.3377895965501117e-02 -8.8956866277256699e-03 -1.2969442710794262e-03 7.5145216493100308e-03 -4.9272796654791515e-03 -7.7767313141592783e-04
-1.2982429037677906e+02 2.8080262745792811e+02 -6.5329418044665843e-01 2.1639016361618493e-01 3.1952643428371424e-02 1.6759369220277362e-02 -5.8439402640689834e-03 -1.5371926383937705e-03 9.5731332353641199e-03 -3.4636484642909492e-03 -1.1857135606816848e-03
-1.7692152035138466e+02 2.7489814293159236e+02 -4.7920669181568698e-01 1.1287599708608330e-01 2.7384996895919832e-05 1.3286053437764705e-02 -3.4302679181501781e-03 -2.2600366011592640e-04 8.0147798277921487e-03 -2.1886319502032619e-03 -2.2570242515007128e-04
-4.9423715196953118e+01 2.0126431094056616e+02 -9.6043733270143616e-01 8.9677959397269927e-02 4.9758735305171703e-01 1.9435798400263618e-02 -2.8781642044264969e-03 -8.1749386908913056e-03 8.8709877405478196e-03 -1.8917066510565276e-03 -2.7014778073224176e-03
-3.6864715501989188e+01 1.3889621445930950e+02 -2.4473916458482936e-01 -4.6987338757100601e-02 2.4905188328078892e-01 5.7199109579275913e-03 -6.2689361918566119e-04 -3.7550334330474916e-03 3.0277801474944683e-03 -1.1437543455137679e-03 -1.0154627169588132e-03
-1.0076728926120548e+02 8.8189862746776981e+01 -1.4030573015143735e-01 -4.5730589952740777e-02 3.4548074914780638e-02 4.0224884586578568e-03 4.4593645227281736e-04 -1.8916245482693140e-04 2.4791254269920459e-03 -5.7100037207331175e-05 1.9086636923565563e-04
-2.2148796480158774e+02 1.8594138644642572e+02 -2.9389876953494926e-01 -3.0233989129020124e-02 -3.3781651592407536e-03 8.7788738593793814e-03 4.2914967407318223e-04 1.9962315746284171e-04 5.5459873944949398e-03 9.6575793653960845e-05 1.6246334071119342e-04
-1.9988565504238028e+02 1.2209450226259418e+02 -2.0310642968466930e-01 -6.4304152784243979e-02 -4.6641961707423723e-03 6.1894642800253861e-03 1.3728923773432353e-03 3.3275585026273376e-04 3.9552935534940235e-03 6.6554669671655157e-04 2.8144969238456767e-04
-2.2207784760621578e+02 6.6677829804010074e+01 -1.0228537171080904e-01 -4.9448120277551834e-02 -2.4028946989314449e-03 3.3889269604630953e-03 1.1126208698879678e-03 2.8665855417219968e-04 2.2637878716441958e-03 5.6869154683489764e-04 2.6022671248395379e-04
