earthquake_date longitude latitude magnitude
1996.79508197 131.09300000 30.56800000 6.6000
1996.79781421 131.47000000 31.89000000 6.7000
2000.07377049 146.84000000 43.05000000 6.8000
2000.76229508 133.13000000 35.46000000 6.7000
2001.22465753 132.53000000 34.08000000 6.8000
2003.39726027 141.57000000 38.85000000 7.0000
2003.73150685 143.91000000 41.81000000 8.3000
2003.73150685 143.59000000 41.77000000 7.3000
2003.83013699 142.62000000 37.81000000 7.0000
2004.67759563 136.62000000 33.07000000 7.2000
2004.80874317 138.83000000 37.31000000 6.6000
2004.90710383 145.12000000 43.01000000 7.0000
2004.92896175 145.23000000 42.90000000 6.7000
2005.21369863 130.13100000 33.80700000 6.6000
2005.62191781 142.04000000 38.28000000 7.2000
2005.86849315 144.90000000 38.11000000 7.0000
2007.22739726 136.59000000 37.34000000 6.7000
2007.53698630 138.44600000 37.53500000 6.6000
2008.34699454 141.52000000 36.16000000 6.8000
2008.44808743 140.88000000 39.03000000 6.9000
2008.54644809 142.21000000 37.55000000 6.9000
2008.69398907 143.75000000 41.89000000 6.8000
1993.52602740 139.24700000 42.89200000 7.7000
1994.98904110 143.43000000 40.52300000 7.8000
1995.01369863 142.21600000 40.34600000 7.0000
2010.20270000 141.75000000 37.75000000 6.7000
2005.79178100 141.04320000 36.38170000 6.3000
2010.50411000 142.65280000 39.65720000 6.4000
1500.00000000 142.36900000 38.32200000 9.1000
